#Frame          side1        side2
       1      27.9373      27.9934
       2      27.0663      28.0815
       3      26.3210      28.0779
       4      27.0047      27.3726
       5      26.7432      28.0865
       6      27.9224      27.5967
       7      28.1281      26.9918
       8      27.3520      27.7733
       9      26.8872      28.4661
      10      26.8619      27.8237
      11      27.1263      27.8697
      12      27.2333      28.2080
      13      27.3360      27.3047
      14      26.4388      27.7277
      15      26.3346      28.6628
      16      25.9554      28.5634
      17      26.3023      28.8023
      18      26.5145      28.1797
      19      26.2925      28.7222
      20      25.9138      28.5535
      21      25.5319      28.1131
      22      25.6202      26.3863
      23      25.4642      26.4889
      24      25.1776      25.9811
      25      25.4778      26.0158
      26      24.8713      26.4102
      27      24.4282      25.8111
      28      24.1296      26.5588
      29      25.7705      26.6404
      30      25.4164      25.9513
      31      25.3070      25.5161
      32      25.3718      24.9949
      33      25.4203      26.2662
      34      24.6028      26.0567
      35      24.7781      25.7957
      36      25.4344      25.9620
      37      25.5837      26.1755
      38      25.5772      26.7257
      39      25.1541      27.0298
      40      24.6937      26.8397
      41      24.5910      26.7936
      42      24.6165      26.4562
      43      24.7259      27.8647
      44      24.5219      27.0449
      45      24.1860      27.0448
      46      25.2041      26.6828
      47      24.7619      26.3670
      48      25.1827      26.4840
      49      24.5058      25.7465
      50      24.6759      24.9445
      51      24.9061      24.6614
      52      24.5988      24.8396
      53      24.3540      24.7258
      54      23.5669      25.2533
      55      22.7013      25.2993
      56      24.5503      25.6198
      57      25.1006      26.1765
      58      25.1191      25.1803
      59      24.5686      26.6023
      60      24.6143      26.0225
      61      24.0218      27.0829
      62      24.7188      27.0733
      63      23.9287      27.1650
      64      24.1838      27.4499
      65      24.1409      26.6838
      66      24.5906      26.4163
      67      25.1279      26.9257
      68      25.0247      26.6787
      69      25.0478      27.3417
      70      24.9950      26.6592
      71      24.7699      27.4431
      72      23.7242      26.8445
      73      23.8393      25.8089
      74      24.2264      25.1569
      75      24.9925      25.7759
      76      24.6920      26.3132
      77      25.1699      25.9185
      78      25.3283      27.3124
      79      25.3530      27.5071
      80      25.0980      26.8362
      81      25.1558      26.5108
      82      25.0989      26.4341
      83      24.9906      26.8985
      84      24.8607      26.9200
      85      25.4343      28.3328
      86      26.3968      26.3779
      87      24.7188      26.5437
      88      24.9726      27.0962
      89      25.3380      26.1371
      90      24.8687      26.6736
      91      25.5794      26.8428
      92      23.8303      26.7200
      93      24.4608      26.1307
      94      24.4201      25.6862
      95      24.8796      26.0826
      96      25.0775      26.0649
      97      24.4381      26.8806
      98      24.9873      26.3523
      99      24.2467      26.2773
     100      24.1362      26.5512
     101      24.4474      27.1486
     102      24.8716      27.3886
     103      24.1176      28.0943
     104      23.5789      27.8169
     105      25.1320      28.3091
     106      24.9441      28.5956
     107      25.3895      27.5301
     108      25.1197      26.3909
     109      25.0146      27.3206
     110      25.6664      26.9026
     111      25.2653      27.3421
     112      25.8036      26.3575
     113      25.0257      26.9733
     114      23.6215      27.0180
     115      23.6196      26.7120
     116      23.1362      27.6915
     117      23.8745      26.4586
     118      24.3976      26.2432
     119      24.4771      25.3403
     120      23.5965      26.0430
     121      24.1394      26.3542
     122      23.4496      27.3369
     123      23.8697      26.3234
     124      24.7604      25.8588
     125      24.0365      26.2247
     126      23.8403      27.1072
     127      24.8450      26.1646
     128      24.5805      26.7057
     129      23.7066      26.1626
     130      24.5547      25.4494
     131      24.3996      26.1084
     132      24.5561      26.1982
     133      24.5319      26.6920
     134      24.6600      26.4952
     135      23.7958      25.7954
     136      24.2702      25.6529
     137      24.6009      26.1447
     138      23.9825      25.7250
     139      25.2345      25.3205
     140      25.5553      25.4557
     141      25.0663      25.6621
     142      24.7565      25.0669
     143      24.4962      25.3321
     144      24.6759      25.6428
     145      24.4416      25.9201
     146      24.9185      25.6457
     147      24.5101      26.2007
     148      24.9129      26.4324
     149      24.5262      26.0739
     150      25.0297      26.6264
     151      24.2314      26.9915
     152      24.4904      27.6752
     153      25.3533      27.4468
     154      25.9509      27.0686
     155      25.2872      27.5536
     156      25.8701      27.5834
     157      25.2922      28.4115
     158      24.8703      27.5328
     159      25.1491      27.9988
     160      25.7431      27.9109
     161      25.7819      28.0691
     162      24.9381      27.6722
     163      24.8785      26.3840
     164      25.5754      25.9264
     165      25.2239      26.3037
     166      24.8462      26.8089
     167      24.7352      26.1772
     168      24.8707      26.2553
     169      24.8319      25.9073
     170      24.5875      26.0638
     171      25.4453      24.9223
     172      25.0726      25.0241
     173      25.4576      25.5848
     174      25.2409      26.3884
     175      25.3202      26.2443
     176      25.9588      25.2586
     177      25.7165      24.6886
     178      25.5396      24.6602
     179      25.8732      25.2777
     180      26.5742      25.4094
     181      26.6235      24.9336
     182      25.5517      25.1341
     183      24.9987      24.7474
     184      25.4069      24.7501
     185      25.4231      25.5205
     186      25.0963      25.6926
     187      25.6773      25.4236
     188      26.1239      25.1612
     189      25.1540      24.7022
     190      24.6939      24.1895
     191      25.2931      24.4272
     192      26.1527      25.4704
     193      25.1423      25.1099
     194      25.2289      24.4793
     195      25.4475      24.1576
     196      25.8592      25.1906
     197      26.0816      25.1594
     198      26.2808      25.0105
     199      25.2711      24.2147
     200      25.4500      23.8467
     201      24.7460      24.4697
     202      24.8496      25.1845
     203      24.8179      25.2149
     204      24.4539      24.9198
     205      24.6873      25.8182
     206      24.5159      25.5633
     207      24.4720      25.8781
     208      24.4481      24.0776
     209      24.4499      25.2515
     210      23.6402      25.1948
     211      23.8530      25.3342
     212      23.2725      25.6214
     213      22.8588      25.7849
     214      22.3333      25.4423
     215      23.2255      25.1702
     216      23.6641      25.3785
     217      23.7814      26.1257
     218      24.1462      26.3990
     219      24.3242      26.1294
     220      24.8815      25.2933
     221      26.4500      25.3336
     222      25.7727      25.5490
     223      26.1645      25.6586
     224      25.2888      25.2532
     225      25.1427      25.1750
     226      26.0327      24.5254
     227      25.4629      24.6615
     228      25.6531      24.3454
     229      25.6011      25.0683
     230      25.7575      25.1143
     231      26.3640      25.2940
     232      26.2566      26.5439
     233      25.9421      25.4299
     234      24.9395      27.0245
     235      25.5089      26.1597
     236      24.8856      27.1839
     237      25.7170      26.0057
     238      24.8128      25.8728
     239      25.6703      25.6402
     240      24.4842      26.8706
     241      24.9083      27.1388
     242      25.3455      27.2678
     243      26.2111      27.0736
     244      26.1219      26.4486
     245      26.5736      27.0099
     246      25.9194      25.9841
     247      25.7116      25.7458
     248      25.6075      25.1401
     249      25.6010      26.1491
     250      24.7815      25.9776
     251      25.3263      26.5538
     252      26.1009      26.4762
     253      26.1801      26.0288
     254      25.4559      26.3843
     255      25.7848      26.2355
     256      26.2741      27.3734
     257      25.7046      26.3829
     258      24.9047      25.7615
     259      24.8573      25.2940
     260      24.5985      25.5458
     261      25.3416      25.3892
     262      25.9712      25.5080
     263      26.0696      26.1305
     264      25.2169      26.2868
     265      25.1870      25.1264
     266      25.4472      25.1836
     267      24.9350      25.5742
     268      25.6308      25.3063
     269      26.2903      25.9164
     270      26.1941      26.1486
     271      25.4929      26.4512
     272      26.3450      27.0445
     273      25.4849      27.7927
     274      25.7037      26.9102
     275      25.2827      27.2150
     276      24.7953      27.2142
     277      25.0001      27.1316
     278      24.6529      26.4330
     279      24.6475      26.7380
     280      24.4589      26.4526
     281      23.8677      25.6498
     282      24.7401      26.1739
     283      24.7536      25.4010
     284      24.9555      27.0451
     285      24.4066      26.6309
     286      25.4694      26.8345
     287      24.4548      27.3727
     288      24.7142      27.2284
     289      24.3148      27.0462
     290      23.8035      26.4015
     291      23.7535      25.5807
     292      24.8836      27.0388
     293      24.5526      26.9278
     294      24.5450      25.7033
     295      24.0527      25.7829
     296      25.2178      25.3174
     297      25.0220      26.3596
     298      25.6360      25.5904
     299      25.0838      26.0695
     300      24.9672      26.0331
     301      25.4322      25.8162
     302      25.2600      26.6450
     303      25.6199      26.7039
     304      24.7199      25.7791
     305      24.0329      25.9128
     306      24.4686      26.8745
     307      26.0321      26.2628
     308      26.2447      26.4224
     309      24.9601      26.8273
     310      24.9721      26.3013
     311      24.9323      27.0948
     312      25.2336      26.3850
     313      24.7329      26.5472
     314      24.4591      26.4614
     315      24.6911      25.8057
     316      25.5361      25.9984
     317      25.7340      25.8695
     318      25.6991      25.4278
     319      25.5732      26.1171
     320      25.1200      25.9102
     321      24.9424      26.3907
     322      24.8026      26.0726
     323      24.6496      26.1213
     324      25.8050      26.2310
     325      25.6992      25.6591
     326      25.2072      24.8694
     327      25.6761      25.2248
     328      26.0708      26.0214
     329      26.2280      25.1980
     330      26.6361      25.5492
     331      25.7965      25.3662
     332      25.9380      25.2571
     333      25.0094      25.0251
     334      25.6149      25.4172
     335      25.1458      25.3881
     336      23.9026      25.5995
     337      24.9539      25.6094
     338      24.4216      25.7573
     339      24.9998      25.8469
     340      24.9148      25.9687
     341      25.5745      25.4651
     342      25.4427      25.6741
     343      25.5346      26.0405
     344      25.2286      25.3148
     345      24.0133      25.4130
     346      24.5570      26.0876
     347      24.6679      24.5543
     348      25.1537      25.6338
     349      25.6216      25.2799
     350      25.3948      25.6245
     351      26.2649      25.5665
     352      25.6074      25.8107
     353      26.9762      25.6077
     354      26.3312      25.6160
     355      25.2215      26.7823
     356      25.5604      27.5456
     357      25.5525      27.9320
     358      26.4267      27.0062
     359      26.0673      27.0078
     360      25.0804      27.0893
     361      24.3129      27.1862
     362      23.9451      27.3603
     363      23.6142      26.5672
     364      24.2288      26.6888
     365      23.9321      26.7155
     366      23.8648      27.3612
     367      24.0503      27.5396
     368      23.5056      27.2824
     369      23.6970      27.5260
     370      23.9378      27.6672
     371      24.4578      27.5863
     372      23.8335      27.5920
     373      23.1618      27.1579
     374      24.1527      26.9444
     375      24.3051      26.7682
     376      23.9632      25.8197
     377      24.8563      26.1107
     378      24.9063      26.2414
     379      24.0618      26.0642
     380      24.5705      25.1257
     381      23.8457      26.0299
     382      23.5790      26.1604
     383      24.4516      26.5437
     384      23.5931      26.4878
     385      24.0810      25.5327
     386      23.8167      25.6970
     387      24.6119      26.4026
     388      24.5728      27.2503
     389      24.4722      27.4970
     390      24.4018      26.7062
     391      24.4381      25.7691
     392      24.6414      26.3938
     393      25.1492      26.9750
     394      24.1508      26.8080
     395      24.9292      26.5982
     396      23.9117      26.4648
     397      24.0019      27.2598
     398      24.6182      27.1441
     399      23.9325      26.3122
     400      25.1227      25.5330
     401      24.1638      25.7060
     402      23.6505      25.6547
     403      22.5507      25.8023
     404      23.7604      25.7808
     405      23.5304      25.5259
     406      24.6237      25.9884
     407      24.3878      26.6983
     408      24.9525      26.1344
     409      24.4500      26.2372
     410      24.1285      25.9326
     411      25.3714      25.8527
     412      24.9235      26.0416
     413      25.2416      26.9590
     414      25.5614      27.3575
     415      25.4949      27.0773
     416      25.8880      26.9228
     417      25.2840      26.9656
     418      24.9027      27.1360
     419      25.2565      26.9466
     420      24.5691      27.1230
     421      24.2811      27.3918
     422      24.1701      26.5743
     423      24.0249      25.8870
     424      24.3271      25.1554
     425      23.6441      24.3598
     426      23.6896      24.8416
