#Frame          side1        side2
       1      26.9807      27.0514
       2      26.1799      26.5072
       3      27.2912      26.1491
       4      28.0780      26.7529
       5      28.3179      27.4041
       6      27.7500      26.9034
       7      27.6976      26.4132
       8      27.0627      26.0307
       9      27.7382      26.5712
      10      27.4034      27.0026
      11      27.3452      26.7134
      12      28.3430      26.8331
      13      27.6865      27.4381
      14      28.0322      27.4223
      15      27.7593      26.4139
      16      27.5902      25.4770
      17      29.0632      25.6825
      18      28.3669      26.2445
      19      28.2172      25.3724
      20      27.9193      26.6177
      21      27.6380      27.0535
      22      27.9370      26.3552
      23      27.4921      26.5100
      24      28.2243      26.8047
      25      28.4360      26.8673
      26      28.8556      27.1153
      27      27.8923      27.2845
      28      27.5552      27.2486
      29      26.8743      27.0828
      30      27.2451      26.8937
      31      27.2374      27.0789
      32      27.1097      27.8421
      33      27.3246      26.8262
      34      27.2928      27.4260
      35      26.7976      26.2527
      36      27.1554      27.1155
      37      27.9188      26.6114
      38      27.8129      26.6120
      39      26.7334      28.2934
      40      26.9598      27.4837
      41      26.9990      27.0576
      42      27.3429      26.6339
      43      27.0344      27.7246
      44      27.2544      26.8586
      45      27.4701      26.6778
      46      27.6068      26.3518
      47      27.2003      27.3559
      48      26.2663      28.0071
      49      25.7705      28.3575
      50      25.5430      27.9781
      51      25.2279      27.7710
      52      25.8899      27.3001
      53      25.5895      28.4672
      54      25.8151      27.7539
      55      25.9438      28.4435
      56      26.2997      28.3057
      57      26.5373      26.8475
      58      26.0138      26.9334
      59      25.8460      26.8040
      60      26.5009      26.8340
      61      26.2577      26.8101
      62      26.6184      27.5743
      63      26.5867      27.0266
      64      26.9383      27.3937
      65      26.9604      27.5012
      66      27.9475      28.2162
      67      27.0642      26.5503
      68      26.6257      27.0223
      69      28.0188      27.1607
      70      27.0114      27.2625
      71      25.8904      27.7780
      72      26.0641      26.8629
      73      26.3742      26.1230
      74      25.7757      26.6600
      75      25.2332      27.2743
      76      24.1849      26.8610
      77      26.1319      26.9806
      78      26.1858      27.2104
      79      25.5211      27.7125
      80      27.2190      28.1186
      81      26.8451      27.2078
      82      28.1050      28.6013
      83      28.0706      28.9571
      84      27.1399      27.8733
      85      28.0263      28.2622
      86      28.1078      27.5444
      87      26.8531      26.4278
      88      27.7074      27.9875
